fileId,fileUrls from query MYD06_L2--61 2018-01-01..2018-12-31 x138y-29 x141y-36[5],size
2947948860,/archive/allData/61/MYD06_L2/2018/002/MYD06_L2.A2018002.0520.061.2018003211114.hdf,60620025
2947952227,/archive/allData/61/MYD06_L2/2018/002/MYD06_L2.A2018002.0340.061.2018003211457.hdf,105457895
2947953206,/archive/allData/61/MYD06_L2/2018/001/MYD06_L2.A2018001.0435.061.2018003210727.hdf,91199773
2947967371,/archive/allData/61/MYD06_L2/2018/002/MYD06_L2.A2018002.0515.061.2018003212429.hdf,125268617
2947968681,/archive/allData/61/MYD06_L2/2018/001/MYD06_L2.A2018001.0610.061.2018003211337.hdf,125150096
2948762029,/archive/allData/61/MYD06_L2/2018/003/MYD06_L2.A2018003.0425.061.2018003212055.hdf,76266238
2948770029,/archive/allData/61/MYD06_L2/2018/003/MYD06_L2.A2018003.0420.061.2018003212434.hdf,93817341
2950778595,/archive/allData/61/MYD06_L2/2018/004/MYD06_L2.A2018004.0505.061.2018004174225.hdf,48107383
2955126792,/archive/allData/61/MYD06_L2/2018/005/MYD06_L2.A2018005.0410.061.2018005235820.hdf,56902292
2955135754,/archive/allData/61/MYD06_L2/2018/005/MYD06_L2.A2018005.0545.061.2018006001120.hdf,137372984
2955732445,/archive/allData/61/MYD06_L2/2018/006/MYD06_L2.A2018006.0455.061.2018006182226.hdf,63919263
2955737553,/archive/allData/61/MYD06_L2/2018/006/MYD06_L2.A2018006.0450.061.2018006183257.hdf,117945939
2956445865,/archive/allData/61/MYD06_L2/2018/007/MYD06_L2.A2018007.0400.061.2018007184651.hdf,84736202
2956446064,/archive/allData/61/MYD06_L2/2018/007/MYD06_L2.A2018007.0355.061.2018007184709.hdf,75366905
2956450212,/archive/allData/61/MYD06_L2/2018/007/MYD06_L2.A2018007.0535.061.2018007185122.hdf,90265179
2960089506,/archive/allData/61/MYD06_L2/2018/008/MYD06_L2.A2018008.0440.061.2018008182358.hdf,97427540
2967795373,/archive/allData/61/MYD06_L2/2018/009/MYD06_L2.A2018009.0525.061.2018009193008.hdf,98271514
2967798965,/archive/allData/61/MYD06_L2/2018/009/MYD06_L2.A2018009.0345.061.2018009193224.hdf,94369665
2967802336,/archive/allData/61/MYD06_L2/2018/009/MYD06_L2.A2018009.0520.061.2018009193446.hdf,125965838
2974601404,/archive/allData/61/MYD06_L2/2018/010/MYD06_L2.A2018010.0430.061.2018010214115.hdf,96088156
2974605120,/archive/allData/61/MYD06_L2/2018/010/MYD06_L2.A2018010.0425.061.2018010214524.hdf,110751740
2976537928,/archive/allData/61/MYD06_L2/2018/011/MYD06_L2.A2018011.0335.061.2018011173717.hdf,85817372
2977075608,/archive/allData/61/MYD06_L2/2018/011/MYD06_L2.A2018011.0515.061.2018011174123.hdf,132663713
2977082697,/archive/allData/61/MYD06_L2/2018/011/MYD06_L2.A2018011.0510.061.2018011174548.hdf,131907656
2979610607,/archive/allData/61/MYD06_L2/2018/012/MYD06_L2.A2018012.0415.061.2018012174650.hdf,117427521
2981167247,/archive/allData/61/MYD06_L2/2018/013/MYD06_L2.A2018013.0500.061.2018013174410.hdf,110380113
2981176591,/archive/allData/61/MYD06_L2/2018/013/MYD06_L2.A2018013.0455.061.2018013174804.hdf,109970090
2983074336,/archive/allData/61/MYD06_L2/2018/014/MYD06_L2.A2018014.0405.061.2018014173442.hdf,73759636
2983076379,/archive/allData/61/MYD06_L2/2018/014/MYD06_L2.A2018014.0540.061.2018014173851.hdf,98513730
2983080089,/archive/allData/61/MYD06_L2/2018/014/MYD06_L2.A2018014.0400.061.2018014174348.hdf,130033979
2984804372,/archive/allData/61/MYD06_L2/2018/015/MYD06_L2.A2018015.0450.061.2018015184622.hdf,74133919
2984804573,/archive/allData/61/MYD06_L2/2018/015/MYD06_L2.A2018015.0445.061.2018015184916.hdf,82476766
2987725743,/archive/allData/61/MYD06_L2/2018/016/MYD06_L2.A2018016.0350.061.2018016174539.hdf,96662765
2987725744,/archive/allData/61/MYD06_L2/2018/016/MYD06_L2.A2018016.0355.061.2018016174539.hdf,114102938
2987725745,/archive/allData/61/MYD06_L2/2018/016/MYD06_L2.A2018016.0530.061.2018016174523.hdf,104798550
2993882519,/archive/allData/61/MYD06_L2/2018/017/MYD06_L2.A2018017.0435.061.2018017173558.hdf,44733341
2995386180,/archive/allData/61/MYD06_L2/2018/017/MYD06_L2.A2018017.0610.061.2018017201157.hdf,137816172
3012986945,/archive/allData/61/MYD06_L2/2018/018/MYD06_L2.A2018018.0340.061.2018023174552.hdf,80553098
3012990170,/archive/allData/61/MYD06_L2/2018/018/MYD06_L2.A2018018.0520.061.2018023174817.hdf,77814576
3013473757,/archive/allData/61/MYD06_L2/2018/018/MYD06_L2.A2018018.0515.061.2018023175637.hdf,113297500
3013578663,/archive/allData/61/MYD06_L2/2018/023/MYD06_L2.A2018023.0400.061.2018023193005.hdf,103706682
3013588224,/archive/allData/61/MYD06_L2/2018/023/MYD06_L2.A2018023.0355.061.2018023193538.hdf,119011241
3013590288,/archive/allData/61/MYD06_L2/2018/023/MYD06_L2.A2018023.0535.061.2018023193825.hdf,107922507
3013593320,/archive/allData/61/MYD06_L2/2018/020/MYD06_L2.A2018020.0505.061.2018023194150.hdf,97205739
3013593906,/archive/allData/61/MYD06_L2/2018/019/MYD06_L2.A2018019.0420.061.2018023194255.hdf,74139707
3013596128,/archive/allData/61/MYD06_L2/2018/019/MYD06_L2.A2018019.0425.061.2018023194506.hdf,114873787
3013603874,/archive/allData/61/MYD06_L2/2018/021/MYD06_L2.A2018021.0410.061.2018023195239.hdf,82076935
3013620917,/archive/allData/61/MYD06_L2/2018/021/MYD06_L2.A2018021.0545.061.2018023200817.hdf,128769622
3013621690,/archive/allData/61/MYD06_L2/2018/022/MYD06_L2.A2018022.0455.061.2018023200836.hdf,70944889
3013634766,/archive/allData/61/MYD06_L2/2018/022/MYD06_L2.A2018022.0450.061.2018023201810.hdf,99787680
3014843733,/archive/allData/61/MYD06_L2/2018/024/MYD06_L2.A2018024.0440.061.2018024191617.hdf,89883172
3016468214,/archive/allData/61/MYD06_L2/2018/025/MYD06_L2.A2018025.0525.061.2018025172019.hdf,81434944
3016469735,/archive/allData/61/MYD06_L2/2018/025/MYD06_L2.A2018025.0345.061.2018025172202.hdf,98927134
3016484581,/archive/allData/61/MYD06_L2/2018/025/MYD06_L2.A2018025.0520.061.2018025173111.hdf,113937916
3017930482,/archive/allData/61/MYD06_L2/2018/026/MYD06_L2.A2018026.0430.061.2018026180234.hdf,100287707
3017932962,/archive/allData/61/MYD06_L2/2018/026/MYD06_L2.A2018026.0425.061.2018026180449.hdf,92831336
3024145764,/archive/allData/61/MYD06_L2/2018/027/MYD06_L2.A2018027.0335.061.2018030173638.hdf,101514403
3024149525,/archive/allData/61/MYD06_L2/2018/027/MYD06_L2.A2018027.0515.061.2018030173910.hdf,116893691
3024152639,/archive/allData/61/MYD06_L2/2018/027/MYD06_L2.A2018027.0510.061.2018030174334.hdf,111136193
3024243743,/archive/allData/61/MYD06_L2/2018/030/MYD06_L2.A2018030.0405.061.2018030185939.hdf,106811194
3024247373,/archive/allData/61/MYD06_L2/2018/028/MYD06_L2.A2018028.0415.061.2018030190335.hdf,90157978
3024252491,/archive/allData/61/MYD06_L2/2018/030/MYD06_L2.A2018030.0400.061.2018030190947.hdf,129774465
3024259016,/archive/allData/61/MYD06_L2/2018/030/MYD06_L2.A2018030.0540.061.2018030191558.hdf,130987376
3024317495,/archive/allData/61/MYD06_L2/2018/029/MYD06_L2.A2018029.0500.061.2018030195037.hdf,129034387
3026005710,/archive/allData/61/MYD06_L2/2018/031/MYD06_L2.A2018031.0450.061.2018031181652.hdf,120949135
3026015808,/archive/allData/61/MYD06_L2/2018/031/MYD06_L2.A2018031.0445.061.2018031182404.hdf,126701505
3027563077,/archive/allData/61/MYD06_L2/2018/032/MYD06_L2.A2018032.0530.061.2018032174523.hdf,125851753
3027567915,/archive/allData/61/MYD06_L2/2018/032/MYD06_L2.A2018032.0350.061.2018032174705.hdf,125803526
3027567916,/archive/allData/61/MYD06_L2/2018/032/MYD06_L2.A2018032.0355.061.2018032174657.hdf,110547736
3029696194,/archive/allData/61/MYD06_L2/2018/033/MYD06_L2.A2018033.0435.061.2018033204443.hdf,96139296
3029716895,/archive/allData/61/MYD06_L2/2018/033/MYD06_L2.A2018033.0610.061.2018033205312.hdf,126329059
3032296815,/archive/allData/61/MYD06_L2/2018/034/MYD06_L2.A2018034.0340.061.2018034173323.hdf,120932704
3032296816,/archive/allData/61/MYD06_L2/2018/034/MYD06_L2.A2018034.0520.061.2018034173328.hdf,104677240
3032302802,/archive/allData/61/MYD06_L2/2018/034/MYD06_L2.A2018034.0515.061.2018034173623.hdf,105587737
3033528998,/archive/allData/61/MYD06_L2/2018/035/MYD06_L2.A2018035.0420.061.2018035175506.hdf,87489123
3033529149,/archive/allData/61/MYD06_L2/2018/035/MYD06_L2.A2018035.0425.061.2018035175609.hdf,86014192
3033974033,/archive/allData/61/MYD06_L2/2018/036/MYD06_L2.A2018036.0505.061.2018036173821.hdf,85261088
3035929570,/archive/allData/61/MYD06_L2/2018/037/MYD06_L2.A2018037.0410.061.2018037181002.hdf,59112406
3035957325,/archive/allData/61/MYD06_L2/2018/037/MYD06_L2.A2018037.0545.061.2018037182451.hdf,133675257
3038388647,/archive/allData/61/MYD06_L2/2018/038/MYD06_L2.A2018038.0455.061.2018038184714.hdf,69934868
3038411745,/archive/allData/61/MYD06_L2/2018/038/MYD06_L2.A2018038.0450.061.2018038185634.hdf,123188557
3040683098,/archive/allData/61/MYD06_L2/2018/039/MYD06_L2.A2018039.0400.061.2018039173002.hdf,61982200
3040683294,/archive/allData/61/MYD06_L2/2018/039/MYD06_L2.A2018039.0535.061.2018039173741.hdf,109012474
3040683471,/archive/allData/61/MYD06_L2/2018/039/MYD06_L2.A2018039.0355.061.2018039174335.hdf,124628512
3043350978,/archive/allData/61/MYD06_L2/2018/040/MYD06_L2.A2018040.0440.061.2018040173350.hdf,64030606
3046327935,/archive/allData/61/MYD06_L2/2018/041/MYD06_L2.A2018041.0525.061.2018041183538.hdf,78641162
3046333592,/archive/allData/61/MYD06_L2/2018/041/MYD06_L2.A2018041.0345.061.2018041183731.hdf,75817038
3046348480,/archive/allData/61/MYD06_L2/2018/041/MYD06_L2.A2018041.0520.061.2018041184450.hdf,123190346
3048939490,/archive/allData/61/MYD06_L2/2018/042/MYD06_L2.A2018042.0430.061.2018042182013.hdf,46798581
3048958795,/archive/allData/61/MYD06_L2/2018/042/MYD06_L2.A2018042.0425.061.2018042183201.hdf,124567595
3049096475,/archive/allData/61/MYD06_L2/2018/042/MYD06_L2.A2018042.0605.061.2018042200043.hdf,118833597
3051397540,/archive/allData/61/MYD06_L2/2018/043/MYD06_L2.A2018043.0335.061.2018043182310.hdf,47972755
3051403515,/archive/allData/61/MYD06_L2/2018/043/MYD06_L2.A2018043.0515.061.2018043182825.hdf,87680505
3051410720,/archive/allData/61/MYD06_L2/2018/043/MYD06_L2.A2018043.0510.061.2018043183436.hdf,110760757
3053629608,/archive/allData/61/MYD06_L2/2018/044/MYD06_L2.A2018044.0415.061.2018044173714.hdf,78460575
3053629609,/archive/allData/61/MYD06_L2/2018/044/MYD06_L2.A2018044.0420.061.2018044173719.hdf,75621854
3055101615,/archive/allData/61/MYD06_L2/2018/045/MYD06_L2.A2018045.0500.061.2018045172956.hdf,73027251
3068390216,/archive/allData/61/MYD06_L2/2018/046/MYD06_L2.A2018046.0405.061.2018052055112.hdf,62760949
3068401516,/archive/allData/61/MYD06_L2/2018/046/MYD06_L2.A2018046.0400.061.2018052055905.hdf,131370280
3068449528,/archive/allData/61/MYD06_L2/2018/046/MYD06_L2.A2018046.0540.061.2018052062153.hdf,127454076
3068574731,/archive/allData/61/MYD06_L2/2018/047/MYD06_L2.A2018047.0450.061.2018052075519.hdf,91956707
3068583517,/archive/allData/61/MYD06_L2/2018/047/MYD06_L2.A2018047.0445.061.2018052080222.hdf,108900691
3068583524,/archive/allData/61/MYD06_L2/2018/048/MYD06_L2.A2018048.0355.061.2018052080218.hdf,87944193
3068587634,/archive/allData/61/MYD06_L2/2018/048/MYD06_L2.A2018048.0350.061.2018052080525.hdf,86583782
3068596927,/archive/allData/61/MYD06_L2/2018/048/MYD06_L2.A2018048.0530.061.2018052080959.hdf,122123916
3068606505,/archive/allData/61/MYD06_L2/2018/049/MYD06_L2.A2018049.0435.061.2018052081625.hdf,101874249
3068624511,/archive/allData/61/MYD06_L2/2018/049/MYD06_L2.A2018049.0610.061.2018052082719.hdf,134019494
3068633199,/archive/allData/61/MYD06_L2/2018/050/MYD06_L2.A2018050.0340.061.2018052083200.hdf,107160847
3068638883,/archive/allData/61/MYD06_L2/2018/050/MYD06_L2.A2018050.0520.061.2018052083458.hdf,130711731
3068650165,/archive/allData/61/MYD06_L2/2018/050/MYD06_L2.A2018050.0515.061.2018052084127.hdf,133468848
3068654712,/archive/allData/61/MYD06_L2/2018/051/MYD06_L2.A2018051.0425.061.2018052084320.hdf,90117798
3068670183,/archive/allData/61/MYD06_L2/2018/051/MYD06_L2.A2018051.0420.061.2018052085111.hdf,115172258
